資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20220408,006206,17,4641,37778000,100.00
20220408,006207,1,162,44722,0.12
20220408,006207,2,1171,2731617,7.40
20220408,006207,3,265,2180132,5.90
20220408,006207,4,101,1278532,3.46
20220408,006207,5,89,1662027,4.50
20220408,006207,6,79,2093919,5.67
20220408,006207,7,39,1399000,3.79
20220408,006207,8,25,1185000,3.21
20220408,006207,9,64,4595280,12.45
20220408,006207,10,34,5099126,13.82
20220408,006207,11,17,5295000,14.35
20220408,006207,12,2,1022000,2.77
20220408,006207,13,2,1335645,3.62
20220408,006207,14,1,900000,2.43
20220408,006207,15,4,6070000,16.45
20220408,006207,16,0,0,0.00
20220408,006207,17,2055,36892000,100.00
20220408,006208,1,93403,27895736,7.96
20220408,006208,2,69835,137980210,39.41
20220408,006208,3,7771,56313160,16.08
20220408,006208,4,2157,26743201,7.64
20220408,006208,5,875,15382287,4.39
20220408,006208,6,695,17023150,4.86
20220408,006208,7,265,9277582,2.65
20220408,006208,8,123,5595784,1.59
20220408,006208,9,164,11360969,3.24
20220408,006208,10,38,5362652,1.53
20220408,006208,11,14,4351222,1.24
20220408,006208,12,4,2088000,0.59
20220408,006208,13,2,1521278,0.43
20220408,006208,14,3,2589666,0.73
20220408,006208,15,8,26555103,7.58
20220408,006208,16,0,0,0.00
20220408,006208,17,175357,350040000,100.00
20220408,00625K,1,0,0,0.00
20220408,00625K,2,6,13000,3.58
20220408,00625K,3,1,10000,2.75
20220408,00625K,4,1,12000,3.30
20220408,00625K,5,3,53000,14.60
20220408,00625K,6,1,23000,6.33
20220408,00625K,7,1,40000,11.01
20220408,00625K,8,0,0,0.00
20220408,00625K,9,3,212000,58.40
20220408,00625K,10,0,0,0.00
20220408,00625K,11,0,0,0.00
20220408,00625K,12,0,0,0.00
20220408,00625K,13,0,0,0.00
20220408,00625K,14,0,0,0.00
20220408,00625K,15,0,0,0.00
20220408,00625K,16,0,0,0.00
20220408,00625K,17,16,363000,100.00
20220408,00631L,1,590,129027,0.14
20220408,00631L,2,1476,3240822,3.57
20220408,00631L,3,280,2168092,2.39
20220408,00631L,4,112,1434447,1.58
20220408,00631L,5,68,1247734,1.37
20220408,00631L,6,67,1700368,1.87
20220408,00631L,7,28,1008001,1.11
20220408,00631L,8,16,741181,0.81
20220408,00631L,9,35,2489499,2.74
20220408,00631L,10,24,3350250,3.69
20220408,00631L,11,13,3554000,3.92
20220408,00631L,12,4,2072000,2.28
20220408,00631L,13,2,1393000,1.53
20220408,00631L,14,1,863000,0.95
